Year,squirrel_id,taglft,tagrt,gr,locx,locy,reflo,sq_fate,2nd?,Confirmed present,OBS 1,Date 1,Date 2,CA1,CA2,Width,Length,No_Quad,Quad_area,Q1A_old,Q1A_new,Q1B_old,Q1B_new,Q2A_old,Q2A_new,Q2B_old,Q2B_new,Q3A_old,Q3A_new,Q3B_old,Q3B_new,Q4A_old,Q4A_new,Q4B_old,Q4B_new,total_old,total_new,
2023,25476,M9520,M9521,SU,O.0,11.0,O11,21,,,SB,22-Sep,,5,,520,620,8,0.9,123,0,228,0,127,0,70,0,49,0,122,0,283,0,141,0,1143,0,
2023,25477,M8381,M8382,SU,F.5,16.0,F.16,21,,,NKMH,20-Sep,,2,,370,700,8,0.9,137,0,0,0,22,0,350,0,146,0,26,0,199,0,80,0,960,0,
2023,25478,M9121,M9109,SU,R.5,2.0,R.2,21,,,BLS,21-Sep,,5,,570,740,8,0.9,4,0,110,0,118,0,300,17,113,0,24,0,424,0,843,0,1936,17,
2023,25485,M9522,-,SU,B.0,6.0,B6,21,,,NKMH,20-Sep,,5,,590,690,8,0.9,14,0,310,0,47,0,880,1,53,0,440,0,281,0,925,0,2950,1,
2023,25865,M9646,M9647,SU,G.5,14.5,G.14.,21,,,NKMH,20-Sep,,3,,610,910,8,0.9,7,0,8,1,0,0,176,0,4,0,17,0,19,1,68,0,299,2,
2023,25884,M7911,M7912,SU,G.0,5.5,G5.,21,,,NKMH,20-Sep,,4,,730,900,8,0.9,6,0,25,0,392,0,110,0,131,0,9,0,38,0,46,0,757,0,
2023,25904,M9853,M9854,SU,K.0,6.5,K6.,21,,,BLS,19-Sep,,4,,650,710,8,0.9,93,0,22,0,111,0,108,0,259,3,8,2,412,37,85,0,1098,42,
2023,25916,M8395,M8396,SU,C.5,5.0,C.5,21,,,BLS,18-Sep,,4,,660,800,8,0.9,7,0,52,0,148,0,64,0,369,0,2,1,210,6,1,0,853,7,
2023,25940,M9841,M9842,SU,B.5,1.0,B.1,21,,,BLS,16-Sep,,1,,440,620,8,0.9,6,0,1,0,2,0,3,0,0,0,1,0,3,0,13,0,29,0,
2023,25995,M9962,M9963,SU,L.0,10.5,L10.,21,,,NKMH,19-Sep,,4,,550,960,8,0.9,98,0,134,16,127,0,66,5,89,0,116,0,166,0,118,0,914,21,
2023,25996,M9929,M9928,SU,I.0,14.5,I14.,21,,,NKMH,20-Sep,,3,,560,760,8,0.9,23,0,26,0,52,2,222,0,23,0,22,0,65,0,167,0,600,2,
2023,26027,M9966,M9967,SU,G.0,8.0,G8,21,,,SB,22-Sep,,4,,670,900,8,0.9,23,0,35,0,5,0,311,0,354,0,97,0,38,0,19,0,882,0,
2023,26028,M9968,M9969,SU,H.5,9.5,H.9.,21,,,BLS,20-Sep,,3,,380,520,8,0.9,70,0,61,0,84,0,149,0,120,9,33,0,81,5,0,1,598,15,
2023,26029,M9913,M9657,SU,E.0,11.5,E11.,21,,,NKMH,20-Sep,,2,,340,450,8,0.9,4,0,6,0,7,0,72,0,121,1,146,0,0,0,62,0,418,1,
2023,26030,M9964,M9965,SU,B.5,3.0,B.3,21,,,NKMH,19-Sep,,5,,900,810,8,0.9,78,0,68,0,490,0,81,0,203,0,53,0,32,0,13,0,1018,0,
